Food_ID,Food name and Description,Scientific name,Alternate/Common name(s),Edible portion,Option
A001,"Corn grits, white",Zea mays,"Mais, durog, puti",100%,Data Image
A002,"Corn grits, yellow",Zea mays,"Mais, durog, dilaw",100%,Data Image
A003,"Corn on cob, white",Zea mays,"Mais sa busal, puti",30%,Data Image
A004,"Corn on cob, yellow",Zea mays,"Mais sa busal, dilaw",39%,Data Image
A005,"Corn on cob, yellow, boiled",Zea mays,"Mais sa busal, dilaw, nilaga",54%,Data Image
A006,"Cornmeal, white",Zea mays,"Mais, giniling, puti",100%,Data Image
A007,"Cornmeal, yellow",Zea mays,"Mais, giniling, dilaw",100%,Data Image
A008,Job's tears grain,Coix lacryma-jobi,Adlay/Tigbe butil,100%,Data Image
A009,"Millet, glutinous",Panicum miliaceum,N/A,100%,Data Image
A010,Rice bran,Oryza sativa,Darak,100%,Data Image
A011,"Rice, glutinous, parboiled, flattened",Oryza sativa,Pinipig,100%,Data Image
A012,"Rice, milled, glutinous",Oryza sativa,"Bigas, malagkit",100%,Data Image
A013,"Rice, milled, glutinous, milled w/ water",Oryza sativa,"Bigas, malagkit, galapong",100%,Data Image
A014,"Rice, undermilled",Oryza sativa,Brown rice/Pinawa,100%,Data Image
A015,"Rice, undermilled, glutinous, purple",Oryza sativa,"Bigas, malagkit, pirurutong",100%,Data Image
A016,"Rice, undermilled, glutinous, purple, boiled",Oryza sativa,"Bigas, malagkit, pirurutong, sinaing",100%,Data Image
A017,"Rice, undermilled, red",Oryza sativa,"Bigas, mapula",100%,Data Image
A019,"Rice, well-milled",Oryza sativa,"Bigas, maputi",100%,Data Image
A020,"Rice, well-milled, boiled",Oryza sativa,"Bigas, maputi, sinaing",100%,Data Image
A021,"Rice, well-milled, fried",N/A,"Bigas, maputi, sinangag",100%,Data Image
A022,Rice-corn mixture (1:1),N/A,Bigas-mais pinaghalo (1:1),100%,Data Image
A023,"Rice-corn mixture (1:1), boiled",N/A,"Bigas-mais pinaghalo (1:1), sinaing",100%,Data Image
A024,Sorghum,Sorghum bicolor,"Batad/Batag, butil",100%,Data Image
A025,"Sorghum, boiled",Sorghum bicolor,"Batad/Batag, butil, nilaga",100%,Data Image
A026,"Ampaw, pinipig",N/A,N/A,100%,Data Image
A027,"Ampaw, rice",N/A,N/A,100%,Data Image
A028,Bicho-bicho,N/A,Bitsu-bitso,100%,Data Image
A029,"Biscuit, cocohoney",N/A,N/A,100%,Data Image
A030,"Bread, w/ margarine & sugar filling",N/A,Spanish bread,100%,Data Image
A031,"Bread, brown",N/A,N/A,100%,Data Image
A032,"Bread, cheese roll",N/A,N/A,100%,Data Image
A033,"Bread, cinnamon roll",N/A,N/A,100%,Data Image
A034,"Bread, hotdog roll",N/A,N/A,100%,Data Image
A035,"Bread, toasted, w/ margarine-sugar topping",N/A,Biscocho,100%,Data Image
A036,"Bread, mung bean loaf",N/A,Munggo bread,100%,Data Image
A037,"Bread, pan de bonete",N/A,N/A,100%,Data Image
A038,"Bread, pan de coco",N/A,N/A,100%,Data Image
A039,"Bread, pan de leche",N/A,N/A,100%,Data Image
A040,"Bread, pan de limon",N/A,N/A,100%,Data Image
A041,"Bread, pan de monay",N/A,N/A,100%,Data Image
A042,"Bread, pan de sal",N/A,N/A,100%,Data Image
A043,"Bread, raisin",N/A,N/A,100%,Data Image
A044,"Bread, rye",N/A,N/A,100%,Data Image
A045,"Bread, sweet roll",N/A,Ensaymada,100%,Data Image
A046,"Bread, sweet roll w/ mung bean filling",N/A,"Ensaymada, may munggo",100%,Data Image
A047,"Bread, toasted",N/A,"Toast/Tinapay, tostado",100%,Data Image
A048,"Bread, white, loaf",N/A,American loaf/Pan Amerikano,100%,Data Image
A049,Bunuelos,N/A,N/A,100%,Data Image
A050,"Cake, angel food",N/A,N/A,100%,Data Image
A051,"Cake, banana",N/A,N/A,100%,Data Image
A052,"Cake, butter",N/A,N/A,100%,Data Image
A053,"Cake, cheese cupcake",N/A,N/A,100%,Data Image
A054,"Cake, chiffon",N/A,N/A,100%,Data Image
A055,"Cake, chocolate",N/A,N/A,100%,Data Image
A056,"Cake, cream-filled roll",N/A,N/A,100%,Data Image
A057,"Cake, fruit",N/A,N/A,100%,Data Image
A058,"Cake, jelly roll",N/A,Pianono,100%,Data Image
A059,"Cake, kababayan",N/A,N/A,100%,Data Image
A060,"Cake, mamon",N/A,N/A,100%,Data Image
A061,"Cake, mamon, toasted",N/A,N/A,100%,Data Image
A062,"Cake, marshmallow roll",N/A,N/A,100%,Data Image
A063,"Cake, mocha roll",N/A,N/A,100%,Data Image
A064,"Cake, pineapple roll",N/A,N/A,100%,Data Image
A065,"Cake, sponge",N/A,N/A,100%,Data Image
A066,"Chips, cheese flvr",N/A,N/A,100%,Data Image
A067,"Chips, corn, bbq flvr",N/A,N/A,100%,Data Image
A068,"Chips, corn, nacho cheese flvr",N/A,N/A,100%,Data Image
A069,"Chips, corn, natural flvr",N/A,N/A,100%,Data Image
A070,"Chips, corn-potato based, cheese flvr",N/A,N/A,100%,Data Image
A071,"Chips, corn, taco & bbq flvr",N/A,N/A,100%,Data Image
A072,"Chips, corn, taco flvr",N/A,N/A,100%,Data Image
A073,"Chips, fish crackers",N/A,N/A,100%,Data Image
A074,"Chips, fish kroepeck",N/A,N/A,100%,Data Image
A075,"Chips, prawn crackers",N/A,N/A,100%,Data Image
A076,"Chips, prawn crackers, flvrd",N/A,N/A,100%,Data Image
A077,"Chips, shrimp crackers",N/A,N/A,100%,Data Image
A078,"Chips, shrimp kroepeck",N/A,N/A,100%,Data Image
A079,"Chips, squid crackers",N/A,N/A,100%,Data Image
A080,"Chips, sticks, onion flvr",N/A,N/A,100%,Data Image
A081,"Chips, tortilla, bbq flvr",N/A,N/A,100%,Data Image
A082,"Chips, tortilla, nacho cheese flvr",N/A,N/A,100%,Data Image
A083,"Cookies, apas",N/A,N/A,100%,Data Image
A084,"Cookies, arrowroot",N/A,Uraro/Araro cookies,100%,Data Image
A085,"Cookies, assorted",N/A,N/A,100%,Data Image
A086,"Cookies, brownies",N/A,N/A,100%,Data Image
A087,"Cookies, butter",N/A,N/A,100%,Data Image
A088,"Cookies, camachili",N/A,N/A,100%,Data Image
A089,"Cookies, gem",N/A,Iced gem cookies,100%,Data Image
A090,"Cookies, jacobina special",N/A,N/A,100%,Data Image
A091,"Cookies, lady finger",N/A,Brohas,100%,Data Image
A092,"Cookies, marie",N/A,N/A,100%,Data Image
A093,"Cookies, ogoy-ogoy",N/A,N/A,100%,Data Image
A094,"Cookies, otap",N/A,N/A,100%,Data Image
A095,"Cookies, pasencia",N/A,Pacencia/Paciencia,100%,Data Image
A096,"Cookies, pili nut",N/A,N/A,100%,Data Image
A097,"Cookies, pilipit",N/A,N/A,100%,Data Image
A098,"Cookies, polvoron",N/A,N/A,100%,Data Image
A099,"Cookies, sandwich type, choc-filled",N/A,"Biskwit, may palaman na tsokolate",100%,Data Image
A100,"Cookies, sandwich type, cream-filled",N/A,N/A,100%,Data Image
A101,"Cookies, vanilla wafer, choc-coated",N/A,N/A,100%,Data Image
A102,"Cookies, wafer",N/A,N/A,100%,Data Image
A103,"Corn flakes, enr",N/A,N/A,100%,Data Image
A104,Corn pudding,N/A,Maja blanca,100%,Data Image
A105,"Corn pudding, w/ grtd coconut topping",N/A,"Maja blanca, may niyog",100%,Data Image
A106,"Corn pudding, maja, yellow",N/A,"Maja, mais",100%,Data Image
A107,"Corn pudding, maja, yellow w/ grtd coconut topping",N/A,"Maja, mais, may niyog",100%,Data Image
A108,"Corn, fried, seasoned",N/A,Kornik,100%,Data Image
A109,"Corn, whole kernel, cnd",N/A,"Mais butil, de lata",85%,Data Image
A110,Cornstarch,N/A,N/A,100%,Data Image
A111,"Cracker, egg",N/A,Galyetas de patatas,100%,Data Image
A112,"Cracker, graham, honey-flvr",N/A,N/A,100%,Data Image
A113,"Cracker, plain",N/A,N/A,100%,Data Image
A114,"Cracker, salted",N/A,N/A,100%,Data Image
A115,"Cracker, salted, round",N/A,N/A,100%,Data Image
A116,Cream puff,N/A,N/A,100%,Data Image
A117,"Curls, bbq flvr",N/A,N/A,100%,Data Image
A119,"Curls, cheese flvr",N/A,N/A,100%,Data Image
A121,"Curls, prawn flvr",N/A,N/A,100%,Data Image
A122,"Curls, shrimp flvr",N/A,N/A,100%,Data Image
A124,"Doughnut, fried, w/ sugar",N/A,"Donut, prito, may asukal",100%,Data Image
A125,Gurgurya,N/A,N/A,100%,Data Image
A126,Hominy,N/A,Binatog,100%,Data Image
A127,Hopyang baboy,N/A,N/A,100%,Data Image
A128,Hopyang Hapon,N/A,N/A,100%,Data Image
A129,Hopyang munggo,N/A,N/A,100%,Data Image
A130,Karyoka,N/A,Carioca,100%,Data Image
A131,"Lohuwa, peanut",N/A,N/A,100%,Data Image
A132,"Lohuwa, rice",N/A,N/A,100%,Data Image
A133,"Lohuwa, sesame seed",N/A,N/A,100%,Data Image
A134,"Noodles, mung bean starch",N/A,Sotanghon,100%,Data Image
A135,"Noodles, mung bean starch, boiled",N/A,"Sotanghon, nilaga",100%,Data Image
A136,"Noodles, rice, fideos",N/A,Fideos,100%,Data Image
A137,"Noodles, rice",N/A,Bihon,100%,Data Image
A138,"Noodles, rice, boiled",N/A,"Bihon, nilaga",100%,Data Image
A140,"Noodles, wheat, canton, dry",N/A,Canton,100%,Data Image
A141,"Noodles, wheat, mami, fresh",N/A,"Mami, sariwa",100%,Data Image
A142,"Noodles, wheat, inst, w/ flvr",N/A,"Mami, inst, may pampalasa",100%,Data Image
A143,"Noodles, wheat, inst, w/ flvr, fortified",N/A,"Mami, inst, may pampalasa,fortified",100%,Data Image
A144,"Noodles, wheat, thin",N/A,Misua/Miswa,100%,Data Image
A145,"Noodles, wheat, thin, boiled",N/A,"Misua/Miswa, nilaga",100%,Data Image
A146,"Noodles, wheat, miki, dry",N/A,"Miki, tuyo",100%,Data Image
A147,"Noodles, wheat, miki, dry, boiled",N/A,"Miki, tuyo, nilaga",100%,Data Image
A148,"Oatmeal, instant",N/A,N/A,100%,Data Image
A149,"Oats, quick-cooking",N/A,N/A,100%,Data Image
A150,"Oats, quick-cooking, ckd",N/A,N/A,100%,Data Image
A151,Pancake,N/A,Hotcake,100%,Data Image
A152,"Pasta, macaroni",N/A,N/A,100%,Data Image
A153,"Pasta, spaghetti",N/A,N/A,100%,Data Image
A154,"Pasta, spaghetti, boiled",N/A,N/A,100%,Data Image
A155,"Popcorn and peanuts, sweetn",N/A,N/A,100%,Data Image
A156,"Popcorn, salted",N/A,N/A,100%,Data Image
A157,"Popcorn, sweetn",N/A,N/A,100%,Data Image
A158,"Pretzel, choc-coated",N/A,N/A,100%,Data Image
A159,"Pretzel, sweetn",N/A,N/A,100%,Data Image
A160,"Pudding, pineapple",N/A,N/A,100%,Data Image
A161,"Pudding, raisin",N/A,N/A,100%,Data Image
A162,"Pudding, vanilla",N/A,N/A,100%,Data Image
A163,"Puffs, bbq flvr",N/A,N/A,100%,Data Image
A164,"Puffs, cheese flvr",N/A,N/A,100%,Data Image
A165,"Puffs, chicken flvr",N/A,N/A,100%,Data Image
A166,"Puffs, spiced",N/A,N/A,100%,Data Image
A167,"Rice cake (glutinous), bibingka",N/A,"Bibingka, malagkit",100%,Data Image
A168,"Rice cake (glutinous), biko",N/A,Biko/Sinukmani,100%,Data Image
A169,"Rice cake (glutinous), biko, w/ grtd coconut topping",N/A,"Biko/Sinukmani, may niyog",100%,Data Image
A170,"Rice cake (glutinous), biko, w/ purple rice",N/A,"Biko, may pirurutong",100%,Data Image
A171,"Rice cake (glutinous), Chinese, tikoy",N/A,Tikoy,100%,Data Image
A172,"Rice cake (glutinous), Chinese, tikoy, w/ peanut",N/A,"Tikoy, may mani",100%,Data Image
A173,"Rice cake, bibingka",N/A,Bibingkang galapong,100%,Data Image
A174,"Rice cake, bibingka, w/ cheese & coconut topping",N/A,"Bibingkang galapong, may keso at niyog",100%,Data Image
A175,"Rice cake, puto bumbong, purple",N/A,Puto bumbong,100%,Data Image
A176,"Rice cake, puto, brown",N/A,"Puto, brown",100%,Data Image
A177,"Rice cake, puto, white",N/A,Puto puti,100%,Data Image
A178,"Rice cake, puto, white, w/ grtd coconut topping",N/A,"Puto puti, may niyog",100%,Data Image
A179,"Rice cake, cuchinta",N/A,Cuchinta/Kutsinta,100%,Data Image
A180,"Rice cake, cuchinta, w/ grtd coconut topping",N/A,"Cuchinta/Kutsinta, may niyog",100%,Data Image
A181,Rice flour,N/A,"Arina, bigas",100%,Data Image
A182,"Rice flour prep, tamales",N/A,Tamales,100%,Data Image
A183,"Rice gruel, thin",N/A,"Lugaw, malabnaw",100%,Data Image
A184,"Rice prep (glutinous), butse, w/ mung bean filling",N/A,"Butse/Buchi, munggo",100%,Data Image
A185,"Rice prep (glutinous), butse, w/ sweet potato filling",N/A,"Butse/Buchi, kamote",100%,Data Image
A186,"Rice prep (glutinous), kalamay, w/ coconut curd topping",N/A,"Kalamay, may latik",100%,Data Image
A187,"Rice prep (glutinous), kalamay, w/ yam",N/A,"Kalamay, ube",100%,Data Image
A188,"Rice prep (glutinous), palitaw",N/A,Palitaw,100%,Data Image
A189,"Rice prep (glutinous), palitaw, w/ grtd coconut & sugar",N/A,"Palitaw, may niyog at asukal",100%,Data Image
A190,"Rice prep (glutinous), sapin-sapin",N/A,Sapin-sapin,100%,Data Image
A191,"Rice prep (glutinous), suman sa ibos",N/A,Suman sa ibos,100%,Data Image
A192,"Rice prep (glutinous), suman, lye-treated",N/A,Suman sa lihiya,100%,Data Image
A193,"Rice prep (glutinous), suman, w/ grtd coconut topping",N/A,"Suman maruwekos, may niyog",100%,Data Image
A194,"Rice prep (glutinous), tupig",N/A,Tupig,100%,Data Image
A195,"Rice prep, espasol",N/A,Espasol,100%,Data Image
A196,"Rice water, ckd, thin",N/A,"Am, malabnaw",100%,Data Image
A197,"Rice, crispies",N/A,N/A,100%,Data Image
A198,"Rice-bread prep, toasted, puto seko",N/A,Puto seko,100%,Data Image
A199,"Rice-bread prep, toasted, puto seko, w/ grtd coconut",N/A,"Puto seko, may niyog",100%,Data Image
A200,"Spring roll wrapper, plain",N/A,Balat ng lumpia/Lumpia wrapper,100%,Data Image
A201,"Wheat flour, all-purpose",N/A,"Arina, trigo, all-purpose",100%,Data Image
A202,"Wheat flour, all-purpose, enr, bleached",N/A,"Arina trigo, all-purpose, enr, pinaputi",100%,Data Image
A203,"Wheat flour, cake flour, enr, bleached",N/A,"Arina trigo, cake, enr, pinaputi",100%,Data Image
A204,"Instant noodles, chicken flvr, raw",N/A,-,100%,Data Image
A205,"Instant noodles, chicken flvr, ckd",N/A,-,100%,Data Image
B001,Cassava,Manihot esculenta,Kamoteng kahoy/Balinghoy,74%,Data Image
B002,"Cassava, boiled",Manihot esculenta,"Kamoteng kahoy/Balinghoy, nilaga",71%,Data Image
B003,"Cassava, yellow",Manihot esculenta,"Kamoteng kahoy/Balinghoy, dilaw",85%,Data Image
B004,East Indian arrowroot,Tacca leontopetaloides,Yabyaban,85%,Data Image
B005,"East Indian arrowroot, boiled",Tacca leontopetaloides,"Yabyaban, nilaga",100%,Data Image
B006,Palauan,Cyrtosperma merkusii,Galiang/Swamp taro,75%,Data Image
B007,Potato,Solanum tuberosum,Patatas,85%,Data Image
B008,"Potato, boiled",Solanum tuberosum,"Patatas, nilaga",100%,Data Image
B009,"Sweet potato, purple",Ipomoea batatas,"Kamote, murado",77%,Data Image
B010,"Sweet potato, purple, boiled",Ipomoea batatas,"Kamote, murado, nilaga",90%,Data Image
B011,"Sweet potato, white",Ipomoea batatas,"Kamote, puti",89%,Data Image
B012,"Sweet potato, white, boiled",Ipomoea batatas,"Kamote, puti, nilaga",86%,Data Image
B013,"Sweet potato, yellow",Ipomoea batatas,"Kamote, dilaw",88%,Data Image
B014,"Sweet potato, yellow, boiled",Ipomoea batatas,"Kamote, dilaw, nilaga",86%,Data Image
B015,Taro,Colocasia esculenta,Gabi,77%,Data Image
B016,"Taro, boiled",Colocasia esculenta,"Gabi, nilaga",69%,Data Image
B017,White spot arum,Amorphophallus paeoniifolius,Pongapong,91%,Data Image
B018,"Yam, Luzon",Dioscorea luzonensis,Pakit/Kamangeg,77%,Data Image
B019,"Yam, nami",Dioscorea hispida,Nami/Asiatic bitter yam,86%,Data Image
B020,"Yam, purple",Dioscorea alata,Ubi/Ube,83%,Data Image
B021,"Yam, purple, boiled",Dioscorea alata,"Ubi/Ube, nilaga",74%,Data Image
B022,"Yam, spiny",Dioscorea esculenta,Tugi/Lesser yam,82%,Data Image
B023,"Yam, spiny, boiled",Dioscorea esculenta,"Tugi/Lesser yam, nilaga",97%,Data Image
B024,Yautia,Xanthosoma sagittifolium,Gabing Cebu,95%,Data Image
B025,Arrowroot starch,N/A,Uraro starch,100%,Data Image
B026,"Cassava cake, bibingka",N/A,"Kamoteng kahoy, bibingka",100%,Data Image
B027,Cassava flour,N/A,"Kamoteng kahoy, arina",100%,Data Image
B028,Cassava fritter,N/A,"Kamoteng kahoy, maruya",100%,Data Image
B029,Cassava pudding,N/A,"Kamoteng kahoy, budin",100%,Data Image
B030,"Cassava, mashed, w/ sugar & marg",N/A,"Kamoteng kahoy, linupak",100%,Data Image
B031,"Cassava, suman",N/A,"Kamoteng kahoy, suman",100%,Data Image
B032,East Indian arrowroot starch,N/A,Yabyaban starch,100%,Data Image
B033,"Potato chips, cheese flvr",N/A,N/A,100%,Data Image
B034,"Potato, French-fried",N/A,French fries,100%,Data Image
B035,Tapioca starch ball,N/A,Sago/Tapioca pearl,100%,Data Image
B036,"Tapioca starch ball, boiled",N/A,"Sago, nilaga/Tapioca pearl, boiled",100%,Data Image
B037,"Sweet potato, w/ sugar, fried",N/A,Kamote cue,100%,Data Image
B038,"Yam, nami, brined",N/A,"Nami, inasnan",100%,Data Image
B039,"Yam, nami, dried",N/A,"Nami, tuyo",100%,Data Image
B040,"Yam, purple, pudding",N/A,"Ubi, maja",100%,Data Image
B041,"Yam, purple, pudding,w/ grtd coconut topping",N/A,"Ubi, maja, may niyog",100%,Data Image
B042,"Yacon tuber, raw",Smallanthus sonchifolius,Peruvian ground apple,87%,Data Image
B043,"Sweet potato, orange",Ipomoea batatas,-,80%,Data Image
C002,"Cashew nut, roasted",Anacardium occidentale,"Kasuy, binusa",85%,Data Image
C003,"Chestnut, roasted",Castanea,"Kastanyas, binusa",75%,Data Image
C004,"Chickpea, dried",Cicer arietinum,"Garbansos/Garbanzo, tuyo",100%,Data Image
C005,"Chickpea, dried, boiled",Cicer arietinum,"Garbansos/Garbanzo, tuyo, nilaga",86%,Data Image
C006,"Coconut meat, mature",Cocos nucifera,"Niyog, magulang",56%,Data Image
C007,"Coconut meat, very young",Cocos nucifera,"Buko, malauhog",8%,Data Image
C008,"Coconut meat, young",Cocos nucifera,"Buko, malakanin",14%,Data Image
C009,Coconut sport,Cocos nucifera,Makapuno,74%,Data Image
C010,"Cowpea seed, dried",Vigna unguiculata,"Paayap buto, tuyo",100%,Data Image
C011,"Davao wonder bean seed, dried",-,"Mecan pea buto, tuyo",100%,Data Image
C014,"Coastal jack-bean seed, dried",Canavalia rosea,"Pataning-dagat buto, tuyo",82%,Data Image
C015,"Coastal jack-bean seed, dried, boiled",Canavalia rosea,"Pataning-dagat buto, tuyo, nilaga",78%,Data Image
C016,"Java olive seed, dried",Sterculia foetida L.,"Kalumpang buto, tuyo",-,Data Image
C017,"Kaatoan bangkal seed, dried",Neolamarckia cadamba,N/A,100%,Data Image
C018,"Kidney bean seed, black, dried",Phaseolus vulgaris,"Abitsuwelas buto, itim, tuyo",100%,Data Image
C019,"Kidney bean seed, black, dried, boiled",Phaseolus vulgaris,"Abitsuwelas buto, itim, tuyo, nilaga",100%,Data Image
C020,"Kidney bean seed, red, dried",Phaseolus vulgaris,"Abitsuwelas buto, pula, tuyo",100%,Data Image
C021,"Kidney bean seed, red, dried, boiled",Phaseolus vulgaris,"Abitsuwelas buto, pula, tuyo, nilaga",100%,Data Image
C022,"Kidney bean seed, white, dried",Phaseolus vulgaris,"Abitsuwelas buto, puti, tuyo",100%,Data Image
C023,"Kidney bean seed, white, dried, boiled",Phaseolus vulgaris,"Abitsuwelas buto, puti, tuyo, nilaga",100%,Data Image
C024,"Lima bean seed, dried",Phaseolus lunatus,"Patani buto, tuyo",100%,Data Image
C025,"Marang seed, dried",Artocarpus odoratissimus,"Johey oak, seed",78%,Data Image
C026,"Marang seed, dried, boiled",Artocarpus odoratissimus,"Johey oak, seed, boiled",70%,Data Image
C027,"Mung bean seed, green, dried",Vigna radiata var radiata,"Munggo buto, berde, tuyo",100%,Data Image
C028,"Mung bean seed, green, dried, boiled",Vigna radiata var radiata,"Munggo buto, berde, tuyo, nilaga",100%,Data Image
C029,"Mung bean seed, red, dried",Vigna radiata var radiata,"Munggo buto, pula, tuyo",100%,Data Image
C030,"Mung bean seed, red, dried, boiled",Vigna radiata var radiata,"Munggo buto, pula, tuyo, nilaga",100%,Data Image
C031,"Mung bean seed, yellow, dried",Vigna radiata var radiata,"Munggo buto, dilaw, tuyo",100%,Data Image
C032,"Mung bean seed, yellow, dried, boiled",Vigna radiata var radiata,"Munggo buto, dilaw, tuyo, nilaga",100%,Data Image
C033,"Negro coffee seed, dried",Senna occidentalis,"Balatong aso buto, tuyo/Coffee senna seed, dried",100%,Data Image
C034,Peanut w/ shell,Arachis hypogaea,"Mani, may balat",67%,Data Image
C035,"Peanut w/ shell, boiled",Arachis hypogaea,"Mani, may balat, nilaga",48%,Data Image
C036,"Peanut w/ skin, roasted",Arachis hypogaea,"Mani, may balok, binusa",100%,Data Image
C037,Peanut w/o skin,Arachis hypogaea,"Mani, walang balok",100%,Data Image
C038,"Peanut w/o skin, roasted",Arachis hypogaea,"Mani, walang balok, binusa",100%,Data Image
C039,"Pigeon pea seed, dried",Cajanus cajan,"Kadyos buto, tuyo",100%,Data Image
C040,"Pigeon pea seed, dried, boiled",Cajanus cajan,"Kadyos buto, tuyo, nilaga",100%,Data Image
C041,Pili nut,Canarium ovatum,Pili bunga,16%,Data Image
C042,"Rice bean seed, dried",Vigna umbellata,"Tapilan buto, tuyo",100%,Data Image
C043,"Sesame seed, dried",Sesamum indicum,"Linga, tuyo",100%,Data Image
C044,"Soybean seed, dried",Glycine max,"Utaw buto, tuyo",100%,Data Image
C045,"Soybean seed, black, dried",Glycine max,"Utaw buto, itim, tuyo",100%,Data Image
C046,"Soybean seed, black, dried, boiled",Glycine max,"Utaw buto, itim, tuyo, nilaga",100%,Data Image
C047,"Soybean seed, yellow, dried",Glycine max,"Utaw buto, dilaw, tuyo",100%,Data Image
C048,"Soybean seed, yellow, dried, boiled",Glycine max,"Utaw buto, dilaw, tuyo, nilaga",100%,Data Image
C049,"String/Yard long bean seed, dried",Vigna unguiculata ssp. sesquipedalis,"Sitaw buto, tuyo",100%,Data Image
C050,"Velvet bean seed, dried",Mucuna pruriens,N/A,-,Data Image
C051,"Chickpea, cnd",N/A,"Garbansos, de lata",100%,Data Image
C052,"Coconut chip, toasted, sweetn",N/A,N/A,100%,Data Image
C053,"Coconut, cream curd",N/A,Latik,100%,Data Image
C054,"Green pea, dried, fried & seasoned",N/A,"Gisantes, tuyo, prito, tinimpla",100%,Data Image
C055,"Green pea, in brine, cnd",N/A,"Gisantes, de lata",100%,Data Image
C056,"Green pea-corn-peanut mixture, fried",N/A,N/A,100%,Data Image
C057,"Lima bean, fried & seasoned",N/A,"Patani, prito, may timpla",100%,Data Image
C058,Peanut butter,N/A,N/A,100%,Data Image
C059,"Peanut butter, choc flvr",N/A,N/A,100%,Data Image
C060,Peanut cracker,N/A,N/A,100%,Data Image
C061,"Soybean cheese, salted",N/A,Tahure,100%,Data Image
C062,"Soybean seed, black, fermented",N/A,Tausi,100%,Data Image
C063,"Soybean cheese, soft curd",N/A,Tofu,100%,Data Image
C064,"Soybean cheese, hard curd",N/A,Tokwa,100%,Data Image
C065,Soybean pudding/ Geerlig's cheese,N/A,Taho/Tahu,100%,Data Image
C066,Soybean pudding/Geerlig's cheese w/ syrup & tapioca starch ball,N/A,"Taho/Tahu, may arnibal at sago",100%,Data Image
C067,"Soybean paste, miso",N/A,Miso,100%,Data Image
C068,"Soybean seed, yellow, cnd, drnd",N/A,"Utaw, dilaw, de lata",75%,Data Image
C069,"Watermelon seed, dried, salted",N/A,Butong pakwan,35%,Data Image
D001,American black nightshade lvs,Solanum americanum,Amti dahon,41%,Data Image
D002,Apat-apat fern lvs,Marsilea crenata,Four leaves clover/Kaya-kayapuan,-,Data Image
D003,Aragan lvs,Najas graminea,Ricefield waternymph,-,Data Image
D004,Asystasia lvs & stems,Asystasia gangetica,Asistasia/Philippine violet,55%,Data Image
D005,Aurora lvs & stems,Ipomoea triloba,Three-lobed morning glory,-,Data Image
D006,Bago lvs,Gnetum gnemon,Spanish joint-fir lvs,75%,Data Image
D007,"Bago lvs, boiled",Gnetum gnemon,"Spanish joint-fir lvs, boiled",100%,Data Image
D008,"Bago bagin fruit, boiled",Gnetum gnemon,"Spanish joint-fir, fruit, boiled",31%,Data Image
D010,Bamboo shoot,Bambusa blumeana,Labong,22%,Data Image
D011,"Bamboo shoot, boiled",Bambusa blumeana,"Labong, nilaga",100%,Data Image
D012,Banana stem,Musa x balbisiana,Ubod ng saging/Banana pith,100%,Data Image
D013,"Banana heart, butuan",Musa x balbisiana,"Puso, saging, butuan",52%,Data Image
D014,"Banana heart, butuan, boiled",Musa x balbisiana,"Puso, saging, butuan, nilaga",100%,Data Image
D015,Bayuno fruit,Mangifera caesia,Binjai,59%,Data Image
D016,Beet,Beta vulgaris,Remolacha,82%,Data Image
D017,"Beet, boiled",Beta vulgaris,"Remolacha, nilaga",100%,Data Image
D018,Bitter melon/gourd fruit,Momordica charantia,Ampalaya bunga,78%,Data Image
D019,"Bitter melon/gourd fruit, boiled",Momordica charantia,"Ampalaya bunga, nilaga",100%,Data Image
D020,Bitter melon/gourd lvs,Momordica charantia,Ampalaya dahon,42%,Data Image
D021,"Bitter melon/gourd lvs, boiled",Momordica charantia,"Ampalaya dahon, nilaga",100%,Data Image
D023,Blue pea pod,Clitoria ternatea,Pukinggan bunga/Asian pigeonwings pod,94%,Data Image
D024,Borreria lvs & stems,Spermacoce laevis,Siksik parang dahon at tangkay/Slender false buttonweed,-,Data Image
D025,Bottle gourd fruit,Lagenaria siceraria,Upo bunga,90%,Data Image
D026,"Bottle gourd fruit, boiled",Lagenaria siceraria,"Upo bunga, nilaga",100%,Data Image
D027,Bottle gourd lvs,Lagenaria siceraria,Upo dahon,59%,Data Image
D028,"Bottle gourd lvs, boiled",Lagenaria siceraria,"Upo dahon, nilaga",100%,Data Image
D029,Breadfruit fruit,Artocarpus altilis,Rimas bunga,71%,Data Image
D030,Breadnut fruit,Artocarpus camansi,Kamansi bunga,46%,Data Image
D031,Breadnut seed,Artocarpus camansi,Kamansi buto,36%,Data Image
D032,Bulak-bulakan pod,Thespesia lampas,N/A,98%,Data Image
D033,Busi-busi lvs,Synedrella nodiflora,N/A,-,Data Image
D035,"Cabbage, green",Brassica oleracea var. capitata,"Repolyo, berde",63%,Data Image
D036,"Cabbage, green, boiled",Brassica oleracea var. capitata,"Repolyo, berde, nilaga",100%,Data Image
D037,"Cabbage, red",Brassica oleracea var. capitata,"Repolyo, pula",86%,Data Image
D038,"Cabbage, red, boiled",Brassica oleracea var. capitata,"Repolyo, pula, nilaga",100%,Data Image
D039,Carrot,Daucus carota,Karot,79%,Data Image
D040,"Carrot, boiled",Daucus carota,"Karot, nilaga",100%,Data Image
D041,"Cashew, young lvs",Anacardium occidentale,Kasuy talbos,48%,Data Image
D042,"Cashew, young lvs, boiled",Anacardium occidentale,"Kasuy talbos, nilaga",100%,Data Image
