Food_ID,Food name and Description,Scientific name,Alternate/Common name(s),Edible portion,Option
J022,"Milk, pwdr, non-fat, inst",N/A,"Gatas, pulbos, non-fat, inst",100%,Data Image
J023,"Milk, pwdr, skim",N/A,"Gatas, pulbos, skim",100%,Data Image
J024,"Milk, recombined",N/A,"Gatas, recombined",100%,Data Image
J025,"Milk, sweetn, cond, filled",N/A,"Gatas, kondensada, filled",100%,Data Image
J026,Yoghurt,N/A,N/A,100%,Data Image
K001,Butter,N/A,Mantekilya,100%,Data Image
K002,Coconut milk,N/A,"Niyog, gata",100%,Data Image
K003,"Fat, pork",N/A,"Mantika, baboy",100%,Data Image
K004,Margarine,N/A,Margarina,100%,Data Image
K006,"Margarine, fortified",N/A,N/A,100%,Data Image
K007,Mayonnaise,N/A,N/A,100%,Data Image
K008,"Oil, coconut",N/A,"Langis, niyog",100%,Data Image
K009,"Oil, corn",N/A,"Langis, mais",100%,Data Image
K010,"Oil, fish",N/A,"Aseyte/aceite, isda",100%,Data Image
K011,Sandwich spread,N/A,N/A,100%,Data Image
M001,"Breadfruit, candied",N/A,"Rimas, candied",100%,Data Image
M002,"Candy bar, peanut",N/A,Matamis na mani,100%,Data Image
M003,"Candy bar, pili nut",N/A,Matamis na pili/Mazapan de pili,100%,Data Image
M004,"Candy, custard",N/A,Yema,100%,Data Image
M005,"Candy, hard",N/A,N/A,100%,Data Image
M006,"Candy, milk choc",N/A,N/A,100%,Data Image
M007,"Candy, pili nut",N/A,N/A,100%,Data Image
M008,"Candy, pulled",N/A,Tira-tira,100%,Data Image
M009,"Candy, toffee",N/A,N/A,100%,Data Image
M010,"Carageenan gel, assorted fruit-flvr",N/A,"Gulaman, may lasang prutas",100%,Data Image
M011,Caramelo,N/A,N/A,100%,Data Image
M012,Champoy,N/A,N/A,90%,Data Image
M013,"Chocolate, tablea",N/A,N/A,100%,Data Image
M014,Coco jam,N/A,Matamis na bao,100%,Data Image
M016,Creme custard,N/A,Leche flan,100%,Data Image
M017,"Fudge, durian",N/A,"Pastilyas, durian",100%,Data Image
M018,"Fudge, jackfruit",N/A,"Pastilyas, langka",100%,Data Image
M019,"Fudge, milk",N/A,"Pastilyas, gatas",100%,Data Image
M020,"Fudge, yam",N/A,"Pastilyas, ube",100%,Data Image
M021,Honey,N/A,Pulot-pukyutan,100%,Data Image
M022,Ice candy,N/A,N/A,100%,Data Image
M023,Ice drop,N/A,N/A,100%,Data Image
M024,"Jam, jackfruit & pineapple, cnd",N/A,N/A,100%,Data Image
M025,"Jam, mango, cnd",N/A,N/A,100%,Data Image
M026,"Jam, pineapple",N/A,N/A,100%,Data Image
M027,"Jam, yam",N/A,"Halaya, ubi",100%,Data Image
M028,"Jelly, guava",N/A,N/A,100%,Data Image
M030,"Jelly, pineapple",N/A,N/A,100%,Data Image
M031,"Jelly, strawberry",N/A,N/A,100%,Data Image
M032,Masareal,N/A,Mazareal,100%,Data Image
M033,Marshmallow,N/A,N/A,100%,Data Image
M034,"Milk choc bar, orange crunch",N/A,N/A,100%,Data Image
M035,"Nata de coco, sweetn",N/A,N/A,100%,Data Image
M036,"Nata de piña, sweetn",N/A,N/A,100%,Data Image
M037,Peanut brittle,N/A,N/A,100%,Data Image
M038,Peanut brittle w/ sesame seed,N/A,N/A,100%,Data Image
M039,"Peanut, milk choc-coated",N/A,"Mani, binalot sa tsokolate gatas",100%,Data Image
M040,Polvoron,N/A,N/A,100%,Data Image
M041,"Popsicle, choc flvr",N/A,N/A,100%,Data Image
M042,"Sugar, brown",N/A,"Asukal, pula",100%,Data Image
M043,"Sugar, crude, pakaskas",N/A,Pakaskas,100%,Data Image
M044,"Sugar, crude, panocha",N/A,Panocha,100%,Data Image
M045,"Sugar, pwdr",N/A,"Asukal, pulbos/Confectioner's sugar",100%,Data Image
M046,"Sugar, white, refined",N/A,"Asukal, puti, refinado",100%,Data Image
M047,Syrup,N/A,Arnibal,100%,Data Image
M048,"Syrup, molasses, cane",N/A,Pulot,100%,Data Image
M049,"Tamarind, candied",N/A,"Sampalok, candied",93%,Data Image
M050,"Wax gourd, candied",N/A,"Kundol, candied",100%,Data Image
